submission,submission_uuid,source_commit,submission_commit,solver,api_status,promotion_status,q,t,qt,created_at,updated_at,note_validation_evidence,note_evidence_excerpt
b6f2b0a,b6f2b0a5-2ab7-43be-9031-6fcfb1cf1784,e6d9fa95ab81a3414517030c974e75349912e7ca,e6d9fa95ab81a3414517030c974e75349912e7ca,nasqret,rejected,,825,489161900,403558567500,2026-06-26T15:47:25.659Z,2026-06-26T19:11:37.185Z,True,"The committed-support audit covered all 9,024 draws, 18,048 inversion factors, | 9,024 Fiat--Shamir-derived tests with zero classical mismatches, zero | phase-garbage batches, and zero ancilla-garbage batches. It measured Q825,"
f1d8707,f1d87075-cbf0-40d6-bf4d-be6bca2d957a,eccd1c49a50ebd072d08313d09e90bca4ea4a320,eccd1c49a50ebd072d08313d09e90bca4ea4a320,nasqret,rejected,,826,479337428,395932715528,2026-06-25T15:37:43.740Z,2026-06-25T15:57:03.372Z,True,"support audit `92661` accepted all 9,024 draws. | Independently isolated WMICluster trusted replay `92662` completed all 9,024 | Fiat--Shamir-derived tests with zero classical mismatches, zero phase-garbage | batches, and zero ancilla-garbage batches. It measured Q826, average and"
39a9b5f,39a9b5ff-3649-42bf-8ff3-9e7256605196,285741885e944a350fb5bfc22cbe0d5927abea0a,285741885e944a350fb5bfc22cbe0d5927abea0a,nasqret,rejected,,828,448102916,371029214448,2026-06-25T06:14:05.020Z,2026-06-25T06:32:22.895Z,True,"evaluator job `92246` completed all 9,024 Fiat-Shamir-derived tests with zero | classical-output mismatches, zero phase-garbage batches, and zero | primary challenge Q*T record. The 9,024-shot result is finite challenge"
a3b0148,a3b01488-d4b8-496d-bccd-8f817b4710a5,a203fac0f49819743fa41c4016f390d8d854fac5,a203fac0f49819743fa41c4016f390d8d854fac5,nasqret,rejected,,948,54781961,51933299028,2026-06-21T18:41:07.914Z,2026-06-21T18:46:51.593Z,True,"- trusted WMICluster evaluation: 9,024/9,024 tests, with zero classical, | and a second 9,024/9,024 result with zero classical, phase, or ancilla | a third 9,024/9,024 result with zero classical, phase, or ancilla failures; | harness, with the same operation-stream hash, metrics, and `0/0/0` result."
4352cfb,4352cfbc-1d26-4dda-98e5-460e97cb5fa0,32bd56898f9d5494a4922642711395e47c910f2d,32bd56898f9d5494a4922642711395e47c910f2d,welttowelt,rejected,,980,28847321,28270374580,2026-06-17T09:47:29.089Z,2026-06-17T09:51:09.315Z,True,classical mismatches    : 0 | phase-garbage batches   : 0 | ancilla-garbage batches : 0 | all 9024 shots OK
1c0e0e9,1c0e0e91-de6a-4348-bd4a-3b6351fdc70b,765ef38cd8ce99a3e3800e98a8a60db954d35b8f,765ef38cd8ce99a3e3800e98a8a60db954d35b8f,jieyilong,rejected,,1133,1460511,1654758963,2026-06-27T23:20:43.204Z,2026-06-27T23:22:24.299Z,True,cls / pha / anc = 0 / 0 / 0 over 9024 Fiat-Shamir shots
8e9c9a2,8e9c9a22-a6ec-4950-8c5b-c12aade0bc8e,60d61859fa6965eba53634f91877b1141a6f9dce,ae7676ddb082a83b83b48a4a773987b32c5e6009,gopikannappan,accepted,promoted,1151,1299453,1495670403,2026-07-26T09:19:38.895Z,2026-07-26T09:21:55.494Z,True,official promotion
a536a48,a536a487-235b-4928-8fa5-f4b3d4b87600,f5ff95b26059e0d01b143e67bf93cad2649a3668,b7fafc374a95ca9559c8a9bad6c688ab90de50df,Gajesh2007,accepted,promoted,1158,1292651,1496889858,2026-07-26T08:18:48.722Z,2026-07-26T08:21:07.322Z,True,official promotion
